trait,value,label
segment_path_length,640.210676908493,3
segment_eu_length,75.7099729229908,0
segment_eu_length,290.20337696174386,1
segment_eu_length,510.23621980412173,2
segment_eu_length,620.6319360136087,3
segment_curvature,1.0738214054979545,0
segment_curvature,1.0715977054852048,1
segment_curvature,1.0718566799102331,2
segment_curvature,1.031546460565083,3
segment_insertion_angle,6.5812765860899844,0
segment_insertion_angle,35.88624602239754,1
segment_insertion_angle,28.583709884005145,2
segment_insertion_angle,9.390171391690217,3
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,367.81579625606537,0
segment_path_length,695.6025931835175,1
segment_path_length,802.8990565538406,2
segment_eu_length,336.21719170797917,0
segment_eu_length,648.8089086934611,1
segment_eu_length,746.4428980169884,2
segment_curvature,1.0939827151240116,0
segment_curvature,1.0721224444718047,1
segment_curvature,1.0756335932552035,2
segment_insertion_angle,38.026513119577714,0
segment_insertion_angle,14.248696684184551,1
segment_insertion_angle,10.95142468359373,2
segment_path_length,186.25230705738068,0
segment_path_length,55.23401814699173,1
segment_path_length,377.4959916472435,2
segment_path_length,442.33913749456406,3
segment_path_length,488.59545290470123,4
segment_eu_length,162.64070831129578,0
segment_eu_length,50.0,1
segment_eu_length,345.0985366529392,2
segment_eu_length,405.08394191821526,3
segment_eu_length,467.266519237148,4
segment_curvature,1.1451764382438134,0
segment_curvature,1.1046803629398345,1
segment_curvature,1.0938788535834505,2
segment_curvature,1.091969075347525,3
segment_curvature,1.045646184328324,4
segment_insertion_angle,67.35760438699491,0
segment_insertion_angle,53.98722221874981,1
segment_insertion_angle,46.0719158863408,2
segment_insertion_angle,27.175533197918185,3
segment_insertion_angle,9.118201910362307,4
segment_path_length,212.40663504600525,0
segment_path_length,511.957931637764,1
segment_path_length,213.3614347577095,2
segment_path_length,707.1782749891281,3
segment_eu_length,195.25624189766637,0
segment_eu_length,331.0135948869774,1
segment_eu_length,198.70832896484234,2
segment_eu_length,399.2993864257745,3
segment_curvature,1.087835313133433,0
segment_curvature,1.5466371760729916,1
segment_curvature,1.0737417795680813,2
segment_curvature,1.7710477376868823,3
segment_insertion_angle,41.619383868301185,0
segment_insertion_angle,34.754335006626434,1
segment_insertion_angle,12.93055213664212,2
segment_insertion_angle,15.13934151280871,3
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,187.7497808933258,0
segment_path_length,365.44321286678314,1
segment_path_length,811.7548332214355,2
segment_eu_length,176.05112893702216,0
segment_eu_length,341.2638275586793,1
segment_eu_length,799.0400490588692,2
segment_curvature,1.06645030921948,0
segment_curvature,1.0708524705975357,1
segment_curvature,1.0159125743165718,2
segment_insertion_angle,46.08754335916179,0
segment_insertion_angle,36.12219991623195,1
segment_insertion_angle,1.6212273617725543,2
segment_path_length,62.719299376010895,0
segment_path_length,368.5904005765915,1
segment_path_length,592.3549002408981,2
segment_path_length,529.2401144504547,3
segment_eu_length,58.83026432033091,0
segment_eu_length,295.14911485552517,1
segment_eu_length,545.2421480406664,2
segment_eu_length,515.2591580942545,3
segment_curvature,1.0661060272397245,0
segment_curvature,1.2488277349468444,1
segment_curvature,1.0864070255198208,2
segment_curvature,1.0271338337932903,3
segment_insertion_angle,38.75028094516729,0
segment_insertion_angle,24.778116308676204,1
segment_insertion_angle,4.681338346278705,2
segment_path_length,82.65432798862457,0
segment_path_length,332.09902304410934,1
segment_path_length,601.1366448402405,2
segment_path_length,328.7462107539177,3
segment_eu_length,76.15773105863909,0
segment_eu_length,282.8798331447472,1
segment_eu_length,371.9811823197512,2
segment_eu_length,309.99677417676463,3
segment_curvature,1.085304496860382,0
segment_curvature,1.173993279592247,1
